"","hh_income","years_of_schooling","region","treatment"
"1",25483.8337885867,15.3060979115952,"1","0"
"2",17741.2073144156,11.3685826133146,"1","1"
"3",21452.5136453494,11.6165529145827,"1","0"
"4",22531.4504198442,11.7960931845345,"1","0"
"5",21617.073292564,10.0900147956897,"1","0"
"6",19575.5019356341,11.577471369759,"1","1"
"7",26046.0879897558,13.831249642069,"1","0"
"8",19621.3638463476,9.68961815521762,"1","1"
"9",28073.6948555082,14.2606179170687,"1","0"
"10",19749.1436037903,12.8321219758866,"1","1"
"11",25219.4786168939,12.9182225707201,"1","0"
"12",29146.5815708044,15.4240552538199,"1","0"
"13",14444.5571955506,9.62006813132432,"1","1"
"14",18884.8449327305,11.1953421584835,"1","1"
"15",19466.7146544254,12.5184360448878,"1","1"
"16",22543.8015922803,10.3114016372035,"1","0"
"17",18862.9883143357,10.6202970446004,"1","1"
"18",9374.1783163809,4.40318234160959,"1","1"
"19",10238.1322856979,6.3813524285755,"1","1"
"20",25280.4533829208,13.0342554254237,"1","0"
"21",18773.4456236861,12.7593842718016,"1","1"
"22",12874.76626408,7.90315697576192,"1","1"
"23",19312.3305769615,13.0191813906194,"1","1"
"24",24858.6987966904,14.5844045949927,"1","0"
"25",27580.7738450599,14.2498481903711,"1","0"
"26",18278.1234735752,11.5880657014782,"1","1"
"27",18970.9224689243,11.0013616278606,"1","1"
"28",12947.3476592209,8.58889446505551,"1","1"
"29",21840.3894193251,10.1589164203305,"1","0"
"30",17440.0204961595,9.90827246182766,"1","1"
"31",21821.8004929649,11.2796801483246,"1","0"
"32",22819.3493489153,11.7375353140068,"1","0"
"33",24140.4140878797,12.7098249841451,"1","0"
"34",17564.2944983712,10.8856679897088,"1","1"
"35",22019.8204931919,10.7250470882763,"1","0"
"36",13131.9652837066,7.98904114649171,"1","1"
"37",16862.163966482,11.7276039142348,"1","1"
"38",16596.3696232939,10.2172215828108,"1","1"
"39",10343.1694002135,5.29290526117342,"1","1"
"40",20144.490427569,9.30780180423312,"1","0"
"41",20823.994400801,9.51443874964222,"1","0"
"42",18555.7708058053,10.700040841056,"1","1"
"43",23032.6529427981,10.7475421756348,"1","0"
"44",17093.1806916937,8.37971913189006,"1","1"
"45",14526.8758223228,9.50604173280469,"1","1"
"46",21731.2721035549,11.5319432550004,"1","0"
"47",16754.4272952533,10.123377895723,"1","1"
"48",25776.405046885,12.9117986200718,"1","0"
"49",18274.2151895466,10.5987199268506,"1","1"
"50",22622.5915336088,11.8712591077911,"1","0"
"51",21287.7010608158,10.8957056152606,"1","0"
"52",16864.6442364785,10.7439275887836,"1","1"
"53",26302.9100791679,13.8584602517991,"1","0"
"54",22571.5972228693,12.0231863357385,"1","0"
"55",20359.0425863984,10.4887741501585,"1","0"
"56",21106.2029891659,11.057877749706,"1","0"
"57",22717.1552642211,12.0116160972112,"1","0"
"58",20359.3315463163,11.5093794893781,"1","0"
"59",8027.63966738826,4.08190907293484,"1","1"
"60",21139.5318141226,11.869002780899,"1","0"
"61",18531.0614290361,11.1499739600232,"1","1"
"62",20740.9222594624,10.3156859265606,"1","0"
"63",22327.294909462,11.4221655038641,"1","0"
"64",25598.9473091707,13.0315493247397,"1","0"
"65",17090.8317621021,8.43749102537842,"1","1"
"66",25210.1705281766,12.9001963602182,"1","0"
"67",21343.3924790083,10.7769423293611,"1","0"
"68",24154.0243947905,11.0494384595843,"1","0"
"69",23682.9142731626,12.6630085373161,"1","0"
"70",22883.5126514674,11.2051056336627,"1","0"
"71",15827.5242457286,10.9480012393772,"1","1"
"72",19639.2544535572,12.3256470762694,"1","1"
"73",22494.0726479982,10.8041321487313,"1","0"
"74",16185.9065689106,10.1167541365002,"1","1"
"75",17828.6847417046,11.2034129725653,"1","1"
"76",22323.9859907267,12.1128746810153,"1","0"
"77",23072.7149513384,11.6894819976376,"1","0"
"78",21855.0703541607,9.38482201845709,"1","0"
"79",16456.8948103613,9.07758978517398,"1","1"
"80",15600.8764054086,8.91351537481044,"1","1"
